,ITN,Partners,Partners ITN
0,7708004767,"['LUKOIL', 'LUKOIL Group', 'LUKOIL Global', 'LUKOIL Upstream']",['7425002857']
1,274051582,"['ПАО АНК «Башнефть»', 'ПАО «НК «Роснефть»', 'Artus Support', 'Yandex.Metrika']","['0274051582', '7706107510']"
2,5902201970,"['LUKOIL', 'LUKOIL Group', 'LUKOIL Global', 'LUKOIL Upstream']",['7425002857']
3,8618006063,"['Google', 'Apple', 'Microsoft']",['7707767220']
4,7707049388,"['Google', 'Apple', 'Microsoft']",['7707767220']
5,3444070534,"['LUKOIL', 'PJSC LUKOIL']",['7425002857']
6,9707001911,"['Google', 'Apple', 'Microsoft']",['7707767220']
7,7701186067,"['Rosatom', 'Металлурги Росатома', 'Служба внутреннего контроля и аудита Инжинирингового дивизиона Росатома', 'Атомэнергопроект', 'Инжини']","['7706413348', '7701796320', '7817311895']"
8,7017094419,"['Kdv-group', 'Babkinsemechki', 'Maestro Gusten', 'Djazzy', 'Babyfox', 'Домашнее чаепитие', 'Liberty Orchards', 'Фруктовичи', 'Крут Фрут', 'Bridge', 'Mini Free', 'Золо']","['5904408307', '7724331673']"
9,6165161667,"['Крупнейшие экспортеры зерна', 'Россия']",['7728674093']
10,7453011758,"['LUKOIL', 'LUKOIL Group', 'LUKOIL Global', 'LUKOIL Upstream']",['7425002857']
11,2309051942,"['LUKOIL', 'LUKOIL Group', 'LUKOIL Global', 'LUKOIL Upstream']",['7425002857']
12,7708587205,"['RZDстрой', 'РЖД', 'АО «РЖДстрой»']","['7708503727', '7708587205']"
13,2723088770,"['РусГидро', 'Ассоциация гарантирующих поставщиков', 'Проект Надежный партнер']","['2460066195', '7729438684']"
14,2310040800,['Каспийский Трубопроводный Консорциум'],['2310040800']
15,7825439514,"['LUKOIL', 'LUKOIL Group', 'LUKOIL Global', 'LUKOIL Upstream']",['7425002857']
16,273008320,"['Rostec', 'Soyuzmash', 'UEC']","['2466208671', '6604008966']"
17,5003028028,"['Dan.com', 'Undeveloped BV']",['7813120716']
18,6164317329,"['PetrolPlus', 'Ges', 'Avito']","['9704058123', '9710090492']"
19,4813007240,"['Chickenkingdom.ru', 'Reg.ru']",['6312068502']
20,7712040285,"['НПО «Алмаз»', 'ПАO Академик А. А. Расплетин']",['7712040285']
21,7709825967,"['LUKOIL', 'PJSC LUKOIL']",['7425002857']
22,5104002234,['EuroChem Group'],[]
23,5047076050,"['IKEA', 'IKEA (Juridicheskaya informaciya)', 'IKEA (Privacy policy)', 'IKEA (Informaciya dlya potrebitelei o mebelnoi produkcii)']",['5047076050']
24,5047028515,['IKEA'],['5047076050']
25,7743336155,"['iTrust Finance', 'PopularFX']",[]
26,5032048798,"['Volvo', 'Volvo Group', 'Volvo Information Technology AB']",['5047105054']
27,276046524,"['Газпром газораспределение Уфа', 'Газпром межрегионгаз Уфа']","['0278030985', '0276046524']"
28,5905099475,['Lukoil'],['7425002857']
29,7802772445,['Rencons'],[]
30,7819301797,"['Bosch', 'Siemens', 'Neff', 'Gaggenau']","['081400014321', '6658358607', '7751520567']"
31,7204002873,"['Utair', 'Utair', 'Utair', 'Utair', 'Utair', 'Utair', 'Utair', 'Utair', 'Utair', 'Utair', 'Utair']",[]
32,5047095543,"['Jaguar Land Rover', 'Land Rover Financial Group']",[]
33,3123100360,"['Prioskol', 'Al-safa', 'Коко Пулет', 'Флай де Ланч', 'Славная марка']","['3113001603', '6670072019']"
34,7725642022,"['LUKOIL', 'LUKOIL Group', 'LUKOIL Global', 'LUKOIL Upstream']",['7425002857']
35,1659091192,"['Alkotorg', 'FAS RF']",['7017465744']
36,5260070633,"['Yandex.Money', 'WebMoney']",[]
37,7804069580,"['Орими Трейд', 'Группа компаний «Орими»', 'Astronim']","['7804045886', '7703083162']"
38,7717654289,"['Indesit', 'Indesit Russia', 'Indesit.ru', 'YouTube', 'VK', 'Telegram', 'Odnoklassniki', 'Yandex Zen', 'Whatsapp', 'Indesit_']","['0400014449', '3443152304', '1511018610']"
39,6315222985,"['Samaraenergo', 'Чармшайн Инвестментс Лимитед']",['6315222985']
40,3905069220,"['Victoria', 'Google Play', 'Apple Store', 'VK', 'YouTube', 'Zen', 'Okru', 'My Victoria', 'Supermarket Victoria', 'Redmond']","['7706075730', '0400014449', '7729405872', '5029149732', '7804504040']"
41,7704579700,"['AstraZeneca', 'Cellectis', 'AstraZeneca']",[]
42,7706288496,[''],[]
43,7704459330,"['Gazprom Бурение', 'АчимГаз', 'АчимДевелопмент', 'Севернефтегазпром', 'РусГазАльянс', 'Новатек']","['5003026493', '8904047896', '8904075533', '8912001990', '8904084672', '6316031581']"
44,7839326623,"['Melon Fashion Group', 'artw.ru', 'vk', 'youtube', 'telegram']","['0400014449', '3443152304']"
45,270007455,"['Учалинский ГОК', 'InternetLab', 'Yashma Hotel']","['0270007455', '7704785319']"
46,7702420263,"['Magnit', 'Доставка', 'Косметика', 'Аптека']","['7414003633', '3663099053', '7816053257', '2314002683']"
47,4725001168,"['Dan.com', 'Undeveloped BV']",['7813120716']
48,2632082033,"['Россети Северный Кавказ', 'Минэнерго РФ', 'Эра России', 'АО «Каббалкэнерго»', 'АО «Карачаево-Черкесэнерго»']","['2632082033', '7702193998', '7729433100', '0711008455']"
49,6663003800,"['ZIK', 'МСЧ']","['7714305360', '7202086042']"
50,7842349892,"['Atom', 'Chrome', 'Firefox', 'Yandex']",['7706413348']
51,1655189422,['AO ТГК-16'],['1655189422']
52,5506066492,"['Omsk Carbon Group', 'Омск Карбон Групп']",['9909481114']
53,7727650928,"['SINTEZ', 'РВП', 'ГТГ', 'MOLGROUP', 'CNPC', 'Узбекнефтегаз', 'УЗНЕФТЕГАЗДОБЫЧА', 'Jizzakh Petroleum', 'NGS', 'GNG']","['1658008723', '1513068398', '7714348156', '9702062773', '7811629868']"
54,1655049111,"['АО «Сетевая компания»', 'Gridcom Tatar', 'Gridcom RT', 'Lptsystems', 'Айтико']","['1655049111', '9715321859']"
55,1834100340,"['МИЛКОМ', 'Ижмолоко', 'Кезский сырзавод', 'Молочная речка', 'Топтыжка', 'Angelato', 'Фитнес Тайм', 'Для всей семьи']","['1834100340', '6234024431', '1812000327', '5027031573', '9110003530', '615411883280', '7733641294', '7714391056']"
